Andhra Pradesh,104,1660
Arunachal Pradesh,346,25
Assam,19,347
Bihar,17,1572
Chhattisgarh,27,277
Goa,108,23
Gujarat,3,231
Haryana,43,316
Himachal Pradesh,73,50
Jammu & Kashmir,7,212
Jharkhand,14,909
Karnataka,102,577
Kerala,102,168
Madhya Pradesh,12,5374
Maharashtra,19,2350
Manipur,6,0
Meghalaya,49,56
Mizoram,2,46
Nagaland,23,5
Odisha,20,846
Punjab,50,82
Rajasthan,43,779
Sikkim,307,1
Tamil Nadu,85,3096
Tripura,2,7
Uttarakhand,43,240
Uttar Pradesh,5,4558
West Bengal,12,NA
Andaman & Nicobar Islands,532,18
Chandigarh,42,17
Dadra & Nagar Haveli,498,58
Daman & Diu,1079,7
Delhi,86,60
Lakshadweep,0,2
Puducherry,144,10
